SHOW_GUIDE_TITLE,DATE,START_TIME,END_TIME,LOCATION,CATEGORY,PRESENT_IN_STAGING,STAGING_TITLE,STAGING_TIME,STAGING_LOCATION,MATCH,RECOMMENDED_ACTION,CONFIDENCE
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Mixology,3:15 PM–4:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Junction 56 Distillery,3:30 PM–4:15 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Essentially Lavender,4:00 PM–5:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-24,,,,MNP Lifestyles Tent Events,yes,Cottage Springs,4:15 PM–5:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Coastal Coffee,10:15 AM–11:00 AM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Simply Potts by Lauriss,10:15 AM–11:00 AM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,All things honey -Jody,11:00 AM–11:30 AM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Sara Porter — Re:mind Wellness Spa & Apothecary,11:00 AM–11:45 AM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Harley's Pub and Perk - Sampling,11:30 AM–12:15 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Flowers by Uss - The Perfect Christmas Tree,12:15 PM–1:15 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Michelle Knoll — The Dragonfly Spa,12:30 PM–1:15 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Fire Cider & Honey - Homesteading,1:15 PM–2:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,The Farmhouse Shop,1:30 PM–2:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,"Organic Facial — Sara Porter, Re:mind Wellness Spa & Apothecary",2:00 PM–3:15 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Forest Maiden Facial & Beauty Room,2:15 PM–3:15 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Macleans Beer,3:15 PM–4:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Connor Fischer — IncREDible Light,3:15 PM–4:00 PM,Harley's Pub & Perk - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
,2026-09-25,,,,MNP Lifestyles Tent Events,yes,Crafty Elk,4:00 PM–5:00 PM,Quality Homes - Stage,staging_only,"In staging but not a discrete Show Guide line — often MNP multi-stage workbook detail or app extra; review, do not auto-delete.",MEDIUM
